Ticker,Code,Name
GOOG,GOOG/NASDAQ_GOOG,Google Inc CL C Cap
GMCR,GOOG/NASDAQ_GMCR,Green Mountain Coffee Roasters Inc
HSIC,GOOG/NASDAQ_HSIC,Henry Schein Inc
ILMN,GOOG/NASDAQ_ILMN,Illumina Inc
INTC,GOOG/NASDAQ_INTC,Intel Corp
INTU,GOOG/NASDAQ_INTU,Intuit Inc
ISRG,GOOG/NASDAQ_ISRG,Intuitive Surgical Inc
KLAC,GOOG/NASDAQ_KLAC,KLA-Tencor Corp
KRFT,GOOG/NASDAQ_KRFT,Kraft Foods Group Inc
LBTYA,GOOG/NASDAQ_LBTYA,Liberty Global PLC
LMCA,GOOG/NASDAQ_LMCA,Liberty Media Corp
LLTC,GOOG/NASDAQ_LLTC,Linear Technology Corp
MAR,GOOG/NASDAQ_MAR,Marriott International Class A
MAT,GOOG/NASDAQ_MAT,Mattel Inc
MXIM,GOOG/NASDAQ_MXIM,Maxim Integrated Products Inc
MU,GOOG/NASDAQ_MU,Micron Technology Inc
MSFT,GOOG/NASDAQ_MSFT,Microsoft Corp
MDLZ,GOOG/NASDAQ_MDLZ,Mondelez International Inc
MNST,GOOG/NASDAQ_MNST,Monster Beverage Corp
NTAP,GOOG/NASDAQ_NTAP,NetApp Inc
NFLX,GOOG/NASDAQ_NFLX,Netflix Inc
NVDA,GOOG/NASDAQ_NVDA,NVIDIA Corp
NXPI,GOOG/NASDAQ_NXPI,NXP Semiconductors
ORLY,GOOG/NASDAQ_ORLY,O'Reilly Automotive Inc
PCAR,GOOG/NASDAQ_PCAR,PACCAR Inc
PAYX,GOOG/NASDAQ_PAYX,Paychex Inc
PCLN,GOOG/NASDAQ_PCLN,Priceline.com Inc
QCOM,GOOG/NASDAQ_QCOM,Qualcomm Inc
REGN,GOOG/NASDAQ_REGN,Regeneron Pharmaceuticals Inc
ROST,GOOG/NASDAQ_ROST,Ross Stores Inc
SNDK,GOOG/NASDAQ_SNDK,SanDisk Corp
SBAC,GOOG/NASDAQ_SBAC,SBA Communications Corp
STX,GOOG/NASDAQ_STX,Seagate Technology PLC
SIAL,GOOG/NASDAQ_SIAL,Sigma-Aldrich Corp
SIRI,GOOG/NASDAQ_SIRI,Sirius XM Radio Inc
SPLS,GOOG/NASDAQ_SPLS,Staples Inc
SBUX,GOOG/NASDAQ_SBUX,Starbucks Corp
SRCL,GOOG/NASDAQ_SRCL,Stericycle Inc
SYMC,GOOG/NASDAQ_SYMC,Symantec Corp
TSLA,GOOG/NASDAQ_TSLA,Tesla Motors Inc
TXN,GOOG/NASDAQ_TXN,Texas Instruments Inc
TSCO,GOOG/NASDAQ_TSCO,Tractor Supply Co
TRIP,GOOG/NASDAQ_TRIP,TripAdvisor Inc
VRTX,GOOG/NASDAQ_VRTX,Vertex Pharmaceuticals Inc
VIP,GOOG/NASDAQ_VIP,Vimpelcom Ltd
VOD,GOOG/NASDAQ_VOD,Vodafone Group PLC
WDC,GOOG/NASDAQ_WDC,Western Digital Corp
WFM,GOOG/NASDAQ_WFM,Whole Foods Market Inc
WYNN,GOOG/NASDAQ_WYNN,Wynn Resorts Ltd
XLNX,GOOG/NASDAQ_XLNX,Xilinx Inc
YHOO,GOOG/NASDAQ_YHOO,Yahoo! Inc
